CREATED_DATE,SPECIES,LATITUDE,LONGITUDE
2016 Jan 18 02:33:00 PM,BROWN SNAKE,-35.23120037,149.1546843
2016 Jan 18 09:21:00 AM,SWAMP WALLABY,-35.19682116,149.0503599
2016 Jan 18 10:41:00 AM,EASTERN GREY KANGAROO,-35.32032418,149.0561612
2016 Jan 18 10:46:00 AM,BROWN SNAKE,-35.22144029,149.1168248
2016 Jan 18 11:19:00 AM,SWAMP WALLABY,-35.34521799,149.1154606
2016 Jan 18 11:56:00 AM,SWAMP WALLABY,-35.34547127,149.115204
2016 Jan 19 09:25:00 AM,COCKATOO,-35.22450006,149.1088469
2016 Jan 19 11:00:00 AM,EASTERN GREY KANGAROO,-35.25957082,149.1254314
2016 Jan 20 01:49:00 PM,BLUE TONGUE LIZARD,-35.36338779,149.0458823
2016 Jan 20 02:25:00 PM,WALLAROO,-35.26882384,149.116419
2016 Jan 20 02:37:00 PM,BROWN SNAKE,-35.361069,149.0369919
2016 Jan 20 04:48:00 PM,MAGPIES,-35.29814055,149.0705572
2016 Jan 20 08:12:00 AM,BRUSHTAIL POSSUM,-35.29302673,149.1429119
2016 Jan 20 12:10:00 PM,BLUE TONGUE LIZARD,-35.39854728,149.0742569
2016 Jan 21 08:38:00 PM,BROWN SNAKE,-35.30005858,149.1611339
2016 Jan 21 08:39:00 PM,MAGPIES,-35.32999951,149.0758174
2016 Jan 22 05:09:00 PM,BRUSHTAIL POSSUM,-35.2792131,149.1259576
2016 Jan 22 12:21:00 PM,COCKATOO,-35.37676316,149.0638565
2016 Jan 23 04:39:00 PM,BROWN SNAKE,-35.19962366,149.0710368
2016 Jan 23 11:59:00 AM,BLUE TONGUE LIZARD,-35.39926103,149.087171
2016 Jan 24 07:43:00 PM,WALLAROO,-35.2427375,149.1226441
2016 Jan 24 09:45:00 AM,BROWN SNAKE,-35.19926312,149.0734745
2016 Jan 26 02:20:00 PM,EASTERN GREY KANGAROO,-35.39486327,149.1292912
2016 Jan 28 08:54:00 PM,BLUE TONGUE LIZARD,-35.39618427,149.1155009
2016 Jan 28 10:39:00 AM,WALLAROO,-35.26938609,149.2616
2016 Jan 31 01:01:00 PM,SWAMP WALLABY,-35.27422574,149.087959
2016 Jan 31 01:04:00 AM,EASTERN GREY KANGAROO,-35.28233576,149.1484176
2016 Jul 01 11:47:00 AM,WOMBAT,-35.38906221,149.0463087
2016 Jul 01 11:48:00 AM,EASTERN GREY KANGAROO,-35.44996859,149.0912779
2016 Jul 02 07:41:00 PM,EASTERN GREY KANGAROO,-35.25322243,149.0261288
2016 Jul 02 09:20:00 AM,WOMBAT,-35.44945255,149.1299284
2016 Jul 02 09:24:00 AM,WOMBAT,-35.44041198,149.1281967
2016 Jul 02 12:58:00 PM,EASTERN GREY KANGAROO,-35.36436413,149.1273616
2016 Jul 03 08:25:00 PM,BRUSHTAIL POSSUM,-35.23581992,149.064837
2016 Jul 03 10:04:00 PM,WOMBAT,-35.26910974,149.0370495
2016 Jul 05 02:37:00 PM,BRUSHTAIL POSSUM,-35.21237483,149.1027181
2016 Jul 05 12:03:00 PM,EASTERN GREY KANGAROO,-35.34348586,149.1516051
2016 Jul 06 07:31:00 PM,SWAN,-35.29032148,149.1272561
2016 Jul 06 11:12:00 AM,EASTERN GREY KANGAROO,-35.36435603,149.1252577
2016 Jul 06 12:10:00 PM,EASTERN GREY KANGAROO,-35.23863316,149.1676525
2016 Jul 08 09:25:00 AM,EASTERN GREY KANGAROO,-35.15666024,149.1520088
2016 Jul 08 10:40:00 AM,SWAMP WALLABY,-35.37919256,149.0753653
2016 Jul 09 06:07:00 PM,EASTERN GREY KANGAROO,-35.3296856,149.0948634
2016 Jul 09 08:21:00 AM,BRUSHTAIL POSSUM,-35.20745745,149.0786961
2016 Jul 09 09:11:00 AM,EASTERN GREY KANGAROO,-35.26397237,149.1952773
2016 Jul 10 01:49:00 PM,WOMBAT,-35.44018448,149.1281746
2016 Jul 10 07:59:00 AM,EASTERN GREY KANGAROO,-35.22390758,149.1958018
2016 Jul 11 09:20:00 PM,EASTERN GREY KANGAROO,-35.44352133,149.0986083
2016 Jul 12 03:59:00 PM,WALLAROO,-35.28842094,149.1680934
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.33715659,149.0005879
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.39308597,149.1656616
2016 Jul 12 04:32:00 PM,SWAMP WALLABY,-35.37919256,149.0753653
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.23666131,149.1663961
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.36435603,149.1252577
2016 Jul 12 04:32:00 PM,WOMBAT,-35.38906221,149.0463087
2016 Jul 12 04:32:00 PM,WOMBAT,-35.26910974,149.0370495
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.21821334,149.0960855
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.34550898,149.1157412
2016 Jul 12 04:32:00 PM,BRUSHTAIL POSSUM,-35.23581992,149.064837
2016 Jul 12 04:32:00 PM,SWAN,-35.29032148,149.1272561
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.38527523,149.0950039
2016 Jul 12 04:32:00 PM,WOMBAT,-35.44945255,149.1299284
2016 Jul 12 04:32:00 PM,WOMBAT,-35.44018448,149.1281746
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.16409235,149.1477327
2016 Jul 12 04:32:00 PM,BRUSHTAIL POSSUM,-35.21237483,149.1027181
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.38577127,149.0976951
2016 Jul 12 04:32:00 PM,WOMBAT,-35.44041198,149.1281967
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.34537391,149.1134648
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.32518217,149.0921421
2016 Jul 12 04:32:00 PM,EASTERN GREY KANGAROO,-35.23961172,149.1694172
2016 Jul 12 04:32:00 PM,BRUSHTAIL POSSUM,-35.20745745,149.0786961
2016 Jul 13 02:37:00 PM,EASTERN GREY KANGAROO,-35.18244614,149.1505345
2016 Jul 14 01:28:00 PM,EASTERN GREY KANGAROO,-35.45572363,149.096597
2016 Jul 14 09:58:00 AM,BRUSHTAIL POSSUM,-35.33735754,149.0939522
2016 Jul 14 10:19:00 PM,EASTERN GREY KANGAROO,-35.4007993,149.1498202
2016 Jul 16 11:37:00 PM,EASTERN GREY KANGAROO,-35.21523206,149.1913199
